FIPS_city,St,City,County,Pop_2005,Latitude,Longitude
618394,CA,Delano,Kern,45531,35.764844,-119.250428
619192,CA,Diamond Bar,Los Angeles,57975,33.999403,-117.814277
619766,CA,Downey,Los Angeles,109718,33.93815,-118.129899
620018,CA,Dublin,Alameda,39328,37.715911,-121.909908
620956,CA,East Palo Alto,San Mateo,32242,37.46605,-122.132199
621712,CA,El Cajon,San Diego,92487,32.80245,-116.960849
621782,CA,El Centro,Imperial,39636,32.787145,-115.559374
622020,CA,Elk Grove,Sacramento,112338,38.400767,-121.367488
622230,CA,El Monte,Los Angeles,122513,34.0748,-118.027797
622678,CA,Encinitas,San Diego,59525,33.047655,-117.262552
622804,CA,Escondido,San Diego,134085,33.136445,-117.07127
623042,CA,Eureka,Humboldt,25579,40.795319,-124.155679
623182,CA,Fairfield,Solano,104476,38.2525,-122.041655
624638,CA,Folsom,Sacramento,65611,38.676712,-121.146231
624680,CA,Fontana,San Bernardino,163860,34.097733,-117.45734
625338,CA,Foster City,San Mateo,28756,37.563806,-122.244666
625380,CA,Fountain Valley,Orange,55942,33.7109,-117.950324
626000,CA,Fremont,Alameda,200468,37.528506,-121.997122
627000,CA,Fresno,Fresno,461116,36.7806,-119.792874
628000,CA,Fullerton,Orange,132787,33.8848,-117.928054
628168,CA,Gardena,Los Angeles,59891,33.8936,-118.304849
629000,CA,Garden Grove,Orange,166075,33.77875,-117.959375
629504,CA,Gilroy,Santa Clara,45718,37.0101,-121.57809
630000,CA,Glendale,Los Angeles,200065,34.17672,-118.253257
630014,CA,Glendora,Los Angeles,50540,34.14605,-117.843941
631960,CA,Hanford,Kings,47485,36.32504,-119.646935
632548,CA,Hawthorne,Los Angeles,85697,33.91465,-118.347049
633000,CA,Hayward,Alameda,140293,37.627667,-122.104602
633182,CA,Hemet,Riverside,68063,33.731603,-116.997758
633434,CA,Hesperia,San Bernardino,77984,34.419075,-117.302401
633588,CA,Highland,San Bernardino,50892,34.1173,-117.189141
634120,CA,Hollister,San Benito,35941,36.855501,-121.399055
636000,CA,Huntington Beach,Orange,194457,33.691755,-118.008115
636056,CA,Huntington Park,Los Angeles,62491,33.9803,-118.215149
636294,CA,Imperial Beach,San Diego,26374,32.5702,-117.118599
636448,CA,Indio,Riverside,70542,33.7198,-116.228649
636546,CA,Inglewood,Los Angeles,114467,33.95585,-118.343649
636770,CA,Irvine,Orange,186852,33.662114,-117.795807
639220,CA,Laguna Hills,Orange,32198,33.599767,-117.710878
639248,CA,Laguna Niguel,Orange,64664,33.526533,-117.704318
639290,CA,La Habra,Orange,59326,33.9274,-117.950599
639486,CA,Lake Elsinore,Riverside,39258,33.668985,-117.321481
639892,CA,Lakewood,Los Angeles,80467,33.8488,-118.122049
640004,CA,La Mesa,San Diego,53081,32.7696,-117.01887
640032,CA,La Mirada,Los Angeles,49640,33.902117,-118.008766
640130,CA,Lancaster,Los Angeles,134032,34.693064,-118.176425
640340,CA,La Puente,Los Angeles,41762,34.0325,-117.95225
640830,CA,La Verne,Los Angeles,33185,34.118233,-117.770949
640886,CA,Lawndale,Los Angeles,32193,33.88835,-118.352649
641992,CA,Livermore,Alameda,78409,37.691926,-121.763663
642202,CA,Lodi,San Joaquin,62133,38.12325,-121.294424
642524,CA,Lompoc,Santa Barbara,39985,34.660557,-120.469639
643000,CA,Long Beach,Los Angeles,474014,33.7889,-118.159824
643280,CA,Los Altos,Santa Clara,27096,37.369167,-122.095482
644000,CA,Los Angeles,Los Angeles,3844829,34.112101,-118.411201
644028,CA,Los Banos,Merced,33506,37.064177,-120.835295
644112,CA,Los Gatos,Santa Clara,28029,37.230695,-121.959772
644574,CA,Lynwood,Los Angeles,71208,33.9237,-118.201393
645022,CA,Madera,Madera,52147,36.967579,-120.076718
645400,CA,Manhattan Beach,Los Angeles,36481,33.895093,-118.421281
645484,CA,Manteca,San Joaquin,62651,37.802328,-121.223474
646114,CA,Martinez,Contra Costa,35916,38.00075,-122.114526
646492,CA,Maywood,Los Angeles,28600,33.9891,-118.187726
646870,CA,Menlo Park,San Mateo,29661,37.48,-122.144037
646898,CA,Merced,Merced,73767,37.296274,-120.484357
647766,CA,Milpitas,Santa Clara,63383,37.4346,-121.891946
648256,CA,Mission Viejo,Orange,94982,33.612417,-117.651626
648354,CA,Modesto,Stanislaus,207011,37.659799,-120.993923
648648,CA,Monrovia,Los Angeles,37954,34.163385,-117.990416
648788,CA,Montclair,San Bernardino,35474,34.072784,-117.69656
648816,CA,Montebello,Los Angeles,63290,34.0155,-118.109999
648872,CA,Monterey,Monterey,29217,36.60135,-121.88176
648914,CA,Monterey Park,Los Angeles,62065,34.046833,-118.130565
649138,CA,Moorpark,Ventura,35844,34.285088,-118.877564
649270,CA,Moreno Valley,Riverside,178367,33.92623,-117.210311
649278,CA,Morgan Hill,Santa Clara,34852,37.13055,-121.639638
649670,CA,Mountain View,Santa Clara,69276,37.402,-122.077641
650076,CA,Murrieta,Riverside,82778,33.559673,-117.209601
650258,CA,Napa,Napa,74782,38.297933,-122.299907
650398,CA,National City,San Diego,61419,32.66605,-117.098502
650916,CA,Newark,Alameda,41956,37.519267,-122.030504
651182,CA,Newport Beach,Orange,79834,33.61405,-117.909409
652526,CA,Norwalk,Los Angeles,105834,33.9069,-118.082499
652582,CA,Novato,Marin,50335,38.0921,-122.55671
653000,CA,Oakland,Alameda,395274,37.771544,-122.22455
653070,CA,Oakley,Contra Costa,27177,37.986485,-121.716026
653322,CA,Oceanside,San Diego,166108,33.225074,-117.310286
653896,CA,Ontario,San Bernardino,172679,34.054412,-117.60581
653980,CA,Orange,Orange,134950,33.80525,-117.823999
654652,CA,Oxnard,Ventura,183628,34.197426,-119.213695
654806,CA,Pacifica,San Mateo,37092,37.61125,-122.47632
655156,CA,Palmdale,Los Angeles,134570,34.605384,-118.086271
655184,CA,Palm Desert,Riverside,47058,33.733242,-116.375392
655254,CA,Palm Springs,Riverside,47082,33.77575,-116.528788
655282,CA,Palo Alto,Santa Clara,56982,37.3992,-122.139354
655520,CA,Paradise,Butte,26517,39.756412,-121.604334
655618,CA,Paramount,Los Angeles,56540,33.89555,-118.164074
656000,CA,Pasadena,Los Angeles,143731,34.1607,-118.138724
656700,CA,Perris,Riverside,45671,33.793015,-117.223058
656784,CA,Petaluma,Sonoma,54846,38.24115,-122.625455
656924,CA,Pico Rivera,Los Angeles,64679,33.9898,-118.088276
657456,CA,Pittsburg,Contra Costa,62547,38.01815,-121.88947
657526,CA,Placentia,Orange,49795,33.881567,-117.854773
657764,CA,Pleasant Hill,Contra Costa,33153,37.95365,-122.074186
657792,CA,Pleasanton,Alameda,65950,37.67245,-121.889069
658072,CA,Pomona,Los Angeles,153787,34.05895,-117.761399
658240,CA,Porterville,Tulare,44959,36.064567,-119.026952
658520,CA,Poway,San Diego,48476,32.98545,-117.017949
659444,CA,Rancho Cordova,Sacramento,57164,38.5954,-121.300248
659451,CA,Rancho Cucamonga,San Bernardino,169353,34.123831,-117.570239
659514,CA,Rancho Palos Verdes,Los Angeles,41949,33.7582,-118.363006
659587,CA,Rancho Santa Margarita,Orange,50682,33.640695,-117.602178
659920,CA,Redding,Shasta,89641,40.5724,-122.364918
659962,CA,Redlands,San Bernardino,69995,34.0579,-117.170852
660018,CA,Redondo Beach,Los Angeles,66824,33.8565,-118.376174
660102,CA,Redwood City,San Mateo,73114,37.516428,-122.205943
660466,CA,Rialto,San Bernardino,99513,34.113567,-117.387023
660620,CA,Richmond,Contra Costa,102186,37.95135,-122.360939
662000,CA,Riverside,Riverside,290086,33.940437,-117.397363
662364,CA,Rocklin,Placer,49626,38.8024,-121.24027
662546,CA,Rohnert Park,Sonoma,41101,38.347767,-122.697672
662896,CA,Rosemead,Los Angeles,55119,34.06885,-118.081874
662938,CA,Roseville,Placer,105940,38.759812,-121.293695
664000,CA,Sacramento,Sacramento,456441,38.56685,-121.46736
664224,CA,Salinas,Monterey,146431,36.684833,-121.635081
665000,CA,San Bernardino,San Bernardino,198550,34.13975,-117.292299
665028,CA,San Bruno,San Mateo,39752,37.624817,-122.428015
665042,CA,San Buenaventura,Ventura,104017,34.2659,-119.258366
665070,CA,San Carlos,San Mateo,26821,37.497633,-122.267365
665084,CA,San Clemente,Orange,60235,33.447211,-117.611068
666000,CA,San Diego,San Diego,1255540,32.81495,-117.13577
