St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
AL,Auburn,103076,56,0,0,0,0,0,0
AL,Auburn,103076,57,0,0,0,0,0,0
AL,Auburn,103076,58,0,0,0,0,0,0
AL,Auburn,103076,59,0,0,0,0,0,0
AL,Auburn,103076,60,0,0,0,0,0,0
AL,Auburn,103076,61,0,0,0,0,0,0
AL,Auburn,103076,62,0,0,0,0,0,0
AL,Auburn,103076,63,0,0,0,0,0,0
AL,Auburn,103076,64,0,0,0,0,0,0
AL,Auburn,103076,65,0,0,0,0,0,0
AL,Auburn,103076,66,0,0,0,0,0,0
AL,Auburn,103076,67,0,0,0,0,0,0
AL,Auburn,103076,68,0,0,0,0,0,0
AL,Auburn,103076,69,0,0,0,0,0,0
AL,Auburn,103076,70,0,0,0,0,0,0
AL,Auburn,103076,71,0,0,0,0,0,0
AL,Auburn,103076,72,0,0,0,0,0,0
AL,Auburn,103076,73,0,0,0,0,0,0
AL,Auburn,103076,74,0,0,0,0,0,0
AL,Auburn,103076,75,0,0,0,0,0,0
AL,Auburn,103076,76,0,0,0,0,0,0
AL,Auburn,103076,77,0,0,0,0,0,0
DE,Newark,1050670,1,0,0,0,0,0,0
DE,Newark,1050670,2,0,0,0,0,0,0
DE,Newark,1050670,3,0,0,0,0,0,0
DE,Newark,1050670,4,0,0,0,0,0,0
DE,Newark,1050670,5,0,0,0,0,0,0
DE,Newark,1050670,6,0,0,0,0,0,0
DE,Newark,1050670,7,0,0,0,0,0,0
DE,Newark,1050670,8,0,0,0,0,0,0
DE,Newark,1050670,9,0,0,0,0,0,0
DE,Newark,1050670,10,0,0,0,0,0,0
DE,Newark,1050670,11,0,0,0,0,0,0
DE,Newark,1050670,12,0,0,0,0,0,0
DE,Newark,1050670,13,0,0,0,0,0,0
DE,Newark,1050670,14,0,0,0,0,0,0
DE,Newark,1050670,15,0,0,0,0,0,0
DE,Newark,1050670,16,0,0,0,0,0,0
DE,Newark,1050670,17,0,0,0,0,0,1
DE,Newark,1050670,18,0,0,0,0,0,1
DE,Newark,1050670,19,0,0,0,0,0,1
DE,Newark,1050670,20,0,1,1,1,2,3
DE,Newark,1050670,21,0,1,1,1,2,3
DE,Newark,1050670,22,0,1,1,2,3,4
DE,Newark,1050670,23,0,1,1,2,3,4
DE,Newark,1050670,24,0,1,1,2,3,4
DE,Newark,1050670,25,0,1,1,2,3,4
DE,Newark,1050670,26,0,1,1,2,3,4
DE,Newark,1050670,27,0,1,1,2,3,4
DE,Newark,1050670,28,0,1,1,2,3,4
DE,Newark,1050670,29,0,1,1,2,3,4
DE,Newark,1050670,30,0,1,1,2,3,4
DE,Newark,1050670,31,0,1,1,3,5,8
DE,Newark,1050670,32,0,1,1,3,5,8
DE,Newark,1050670,33,0,1,1,3,5,8
DE,Newark,1050670,34,0,1,1,3,5,8
DE,Newark,1050670,35,0,1,1,3,5,8
DE,Newark,1050670,36,0,1,1,3,5,8
DE,Newark,1050670,37,0,1,1,3,5,8
DE,Newark,1050670,38,0,1,1,3,5,8
DE,Newark,1050670,39,0,1,1,3,5,8
DE,Newark,1050670,40,0,1,1,3,5,8
DE,Newark,1050670,41,0,1,1,3,5,8
DE,Newark,1050670,42,0,1,1,3,5,8
DE,Newark,1050670,43,0,1,1,3,5,8
DE,Newark,1050670,44,0,1,1,3,5,8
DE,Newark,1050670,45,0,1,1,3,5,8
DE,Newark,1050670,46,0,1,1,3,5,8
DE,Newark,1050670,47,0,1,1,3,5,8
DE,Newark,1050670,48,0,1,1,3,5,8
DE,Newark,1050670,49,0,1,1,3,5,8
DE,Newark,1050670,50,0,1,1,3,5,8
DE,Newark,1050670,51,0,1,1,3,5,8
DE,Newark,1050670,52,0,1,1,3,5,8
DE,Newark,1050670,53,0,1,1,3,5,8
DE,Newark,1050670,54,0,1,1,3,5,8
DE,Newark,1050670,55,0,1,1,3,5,8
DE,Newark,1050670,56,0,1,1,3,5,8
DE,Newark,1050670,57,0,1,1,3,5,8
DE,Newark,1050670,58,0,1,1,3,5,8
DE,Newark,1050670,59,0,1,1,3,5,8
DE,Newark,1050670,60,0,1,1,3,5,8
DE,Newark,1050670,61,0,1,1,3,5,8
DE,Newark,1050670,62,0,1,1,3,5,8
DE,Newark,1050670,63,0,1,1,3,5,8
DE,Newark,1050670,64,0,1,1,3,5,8
DE,Newark,1050670,65,0,1,1,3,5,8
DE,Newark,1050670,66,0,1,1,3,5,8
DE,Newark,1050670,67,0,1,1,3,5,8
DE,Newark,1050670,68,0,1,1,3,5,8
DE,Newark,1050670,69,0,1,1,3,5,8
DE,Newark,1050670,70,0,1,1,3,5,8
DE,Newark,1050670,71,0,1,1,3,5,8
DE,Newark,1050670,72,0,1,1,3,5,8
DE,Newark,1050670,73,0,1,1,3,5,8
DE,Newark,1050670,74,0,1,1,3,5,8
DE,Newark,1050670,75,0,1,1,3,5,8
DE,Newark,1050670,76,0,1,1,3,5,8
DE,Newark,1050670,77,0,1,1,3,5,8
AL,Bessemer,105980,1,0,0,0,0,0,0
AL,Bessemer,105980,2,0,0,0,0,0,0
AL,Bessemer,105980,3,0,0,0,0,0,0
AL,Bessemer,105980,4,0,0,0,0,0,0
AL,Bessemer,105980,5,0,0,0,0,0,0
AL,Bessemer,105980,6,0,0,0,0,0,0
AL,Bessemer,105980,7,0,0,0,0,0,0
AL,Bessemer,105980,8,0,0,0,0,0,0
AL,Bessemer,105980,9,0,0,0,0,0,0
AL,Bessemer,105980,10,0,0,0,0,0,0
AL,Bessemer,105980,11,0,0,0,0,0,0
AL,Bessemer,105980,12,0,0,0,0,0,0
AL,Bessemer,105980,13,0,0,0,0,0,0
AL,Bessemer,105980,14,0,0,0,0,0,0
AL,Bessemer,105980,15,0,0,0,0,0,0
AL,Bessemer,105980,16,0,0,0,0,0,0
AL,Bessemer,105980,17,0,0,0,0,0,0
AL,Bessemer,105980,18,0,0,0,0,0,0
AL,Bessemer,105980,19,0,0,0,0,0,0
AL,Bessemer,105980,20,0,0,0,0,0,0
AL,Bessemer,105980,21,0,0,0,0,0,0
AL,Bessemer,105980,22,0,0,0,0,0,0
AL,Bessemer,105980,23,0,0,0,0,0,0
AL,Bessemer,105980,24,0,0,0,0,0,0
AL,Bessemer,105980,25,0,0,0,0,0,0
AL,Bessemer,105980,26,0,0,0,0,0,0
AL,Bessemer,105980,27,0,0,0,0,0,0
AL,Bessemer,105980,28,0,0,0,0,0,0
AL,Bessemer,105980,29,0,0,0,0,0,0
AL,Bessemer,105980,30,0,0,0,0,0,0
AL,Bessemer,105980,31,0,1,1,1,1,2
AL,Bessemer,105980,32,0,1,1,1,1,2
AL,Bessemer,105980,33,0,1,1,1,1,2
AL,Bessemer,105980,34,0,1,1,1,1,2
AL,Bessemer,105980,35,0,1,1,1,1,2
AL,Bessemer,105980,36,0,1,1,1,1,2
AL,Bessemer,105980,37,0,1,1,1,1,2
AL,Bessemer,105980,38,0,1,1,1,1,2
AL,Bessemer,105980,39,0,1,1,1,1,2
AL,Bessemer,105980,40,0,1,1,1,1,2
AL,Bessemer,105980,41,0,1,1,1,1,2
AL,Bessemer,105980,42,0,1,1,1,1,2
AL,Bessemer,105980,43,0,1,1,1,1,2
AL,Bessemer,105980,44,0,1,1,1,1,2
AL,Bessemer,105980,45,0,1,1,1,1,2
AL,Bessemer,105980,46,0,1,1,1,1,2
AL,Bessemer,105980,47,0,1,1,1,1,2
AL,Bessemer,105980,48,0,1,1,1,1,2
AL,Bessemer,105980,49,0,1,1,1,1,2
AL,Bessemer,105980,50,0,1,1,1,1,2
AL,Bessemer,105980,51,0,1,1,1,1,2
AL,Bessemer,105980,52,0,1,1,1,1,2
AL,Bessemer,105980,53,0,1,1,1,1,2
AL,Bessemer,105980,54,0,1,1,1,1,2
AL,Bessemer,105980,55,0,1,1,1,1,2
AL,Bessemer,105980,56,0,1,1,1,1,2
AL,Bessemer,105980,57,0,1,1,1,1,2
AL,Bessemer,105980,58,0,1,1,1,1,2
AL,Bessemer,105980,59,0,1,1,1,1,2
AL,Bessemer,105980,60,0,1,1,1,1,2
AL,Bessemer,105980,61,0,1,1,1,1,2
AL,Bessemer,105980,62,0,1,1,1,1,2
AL,Bessemer,105980,63,0,1,1,1,1,2
AL,Bessemer,105980,64,0,1,1,1,1,2
AL,Bessemer,105980,65,0,1,1,1,1,2
AL,Bessemer,105980,66,0,1,1,1,1,2
AL,Bessemer,105980,67,0,1,1,1,1,2
AL,Bessemer,105980,68,0,1,1,1,1,2
AL,Bessemer,105980,69,0,1,1,1,1,2
AL,Bessemer,105980,70,0,1,1,1,1,2
AL,Bessemer,105980,71,0,1,1,1,1,2
AL,Bessemer,105980,72,0,1,1,1,1,2
AL,Bessemer,105980,73,0,1,1,1,1,2
AL,Bessemer,105980,74,0,1,1,1,1,2
AL,Bessemer,105980,75,0,1,1,1,1,2
AL,Bessemer,105980,76,0,1,1,1,1,2
AL,Bessemer,105980,77,0,1,1,1,1,2
AL,Birmingham,107000,1,0,0,0,0,0,0
AL,Birmingham,107000,2,0,0,0,0,0,0
AL,Birmingham,107000,3,0,0,0,0,0,0
